,first,second
0,1093.264413022336,
1,1089.7556431448252,
2,1000.5850477928092,
3,1057.1840773418821,
4,980.6557295575876,
5,1001.3580563464038,
6,983.2202865285595,
7,914.4410843141154,
8,939.7931641123607,
9,939.8201526101603,
10,846.2167729008416,
11,830.9601792308366,
12,772.9192457778889,
13,802.3970501673496,
14,748.6199992538665,
15,740.7962940271943,
16,751.0885661389664,
17,728.9016754819708,
18,665.8293376205501,
19,683.8808769959825,
20,647.4519059333655,-462.90150138716956
21,738.8102527565993,-300.8067948762873
22,670.7377790928984,-357.81185128319936
23,694.3919819046097,-278.34251711913146
24,651.103276012994,-241.19207715546622
25,652.6941621657732,-249.13976265991704
26,690.1138708266877,-272.1502892182316
27,666.3373119714777,-227.66852516180967
28,644.2956286635534,-284.3476356509655
29,568.8107508135612,-132.32275591951782
30,551.0052278805488,-288.81825800239295
31,481.80164048890606,-105.85377073129075
32,467.9502410483574,-235.89738949314182
33,457.289595400085,-240.37473230845
34,440.8972965710201,-218.7432625755044
35,377.88853811330824,-146.7446640025872
36,418.26864723972244,-155.56483016212687
37,397.3777038450278,-147.23379125868337
38,440.0950706847182,-244.05565889891548
39,417.39315532814476,-271.5887858080279
40,402.30811436691965,-251.153673333287
41,365.54752386178274,-208.24252941549338
42,377.38006934511276,-226.9676070017032
43,406.187775194716,-203.68024265716247
44,432.14501060544023,-80.15191797037858
45,406.0096187389511,-160.04609977240372
46,348.1983111693222,-118.35621011628206
47,394.0714142422169,-153.17186696662807
48,390.4723052280429,-188.3190964322652
49,324.5676343583059,-94.92314195093697
50,255.62675009836116,-95.82128108799795
51,314.5469467234824,-71.05604418871738
52,239.19710474220796,-69.61148863800081
53,223.86489655705816,-41.45341720992296
54,210.7913418816996,-38.69990602813952
55,175.11243295166685,-47.75566965267879
56,214.23414363527974,-19.3034729518168
57,149.24049384133517,-33.30281944807634
58,179.3886977072062,89.51164178678827
59,252.0543016942811,-36.857154858663876
60,199.207770977703,83.7096651883667
61,209.505542516667,66.33575832779204
62,177.51308858566233,115.42257425725991
63,237.15874271376816,43.51449425176821
64,258.3356701245669,2.560909425691058
